,city,dong,addr_kr,latitude,longitude
8741,서울특별시,오장동,서울특별시 오장동,37.56417,127.00024
12189,서울특별시,충무로5가,서울특별시 충무로5가,37.5623267,126.9991376
12323,서울특별시,후암동,서울특별시 후암동,37.55011,126.98028
12324,서울특별시,신창동,서울특별시 신창동,37.53586,126.95441
12326,서울특별시,산천동,서울특별시 산천동,37.53558,126.95029
12337,서울특별시,원효로4가,서울특별시 원효로4가,37.53211,126.95127
12340,서울특별시,효창동,서울특별시 효창동,37.54341,126.96037
12343,서울특별시,도원동,서울특별시 도원동,37.53857,126.95576
12348,서울특별시,문배동,서울특별시 문배동,37.5367,126.96818
12351,서울특별시,한강로2가,서울특별시 한강로2가,37.53142,126.9685
12353,서울특별시,한강로3가,서울특별시 한강로3가,37.52754,126.96297
12354,서울특별시,이촌동,서울특별시 이촌동,37.519259399999996,126.96654458624175
12375,서울특별시,이태원동,서울특별시 이태원동,37.53842,126.992
12377,서울특별시,한남동,서울특별시 한남동,37.53822,127.0074
12386,서울특별시,서빙고동,서울특별시 서빙고동,37.51769075,126.99123969122317
12392,서울특별시,보광동,서울특별시 보광동,37.5270966,127.0015525
12397,서울특별시,동자동,서울특별시 동자동,37.55112,126.97251
12398,서울특별시,청파동1가,서울특별시 청파동1가,37.5488,126.96668
12420,서울특별시,용문동,서울특별시 용문동,37.538097750000006,126.95862107239697
12422,서울특별시,한강로1가,서울특별시 한강로1가,37.53517,126.97404
12473,서울특별시,청파동3가,서울특별시 청파동3가,37.5430014,126.9666002
12575,서울특별시,동빙고동,서울특별시 동빙고동,37.52215,126.99571
12685,서울특별시,원효로1가,서울특별시 원효로1가,37.537689150000006,126.96732507803657
12686,서울특별시,원효로2가,서울특별시 원효로2가,37.53321735,126.95234701063902
12693,서울특별시,청암동,서울특별시 청암동,37.53511,126.94593
12771,서울특별시,용산동2가,서울특별시 용산동2가,37.54305,126.98558
13479,서울특별시,용산동5가,서울특별시 용산동5가,37.52533,126.9730431
13710,서울특별시,갈월동,서울특별시 갈월동,37.54487,126.9715441
13843,서울특별시,원효로3가,서울특별시 원효로3가,37.53427,126.9578
14135,서울특별시,주성동,서울특별시 주성동,37.52217,126.99961
15452,서울특별시,신계동,서울특별시 신계동,37.53539,126.96462
23609,서울특별시,하왕십리동,서울특별시 하왕십리동,37.56131,127.02715
23624,서울특별시,홍익동,서울특별시 홍익동,37.5660138,127.0327281
23626,서울특별시,마장동,서울특별시 마장동,37.56743,127.04045
23646,서울특별시,사근동,서울특별시 사근동,37.5589948,127.0480281
23648,서울특별시,행당동,서울특별시 행당동,37.55783,127.03571
23684,서울특별시,응봉동,서울특별시 응봉동,37.55236,127.03356
23694,서울특별시,금호동1가,서울특별시 금호동1가,37.55286,127.02393
23704,서울특별시,금호동3가,서울특별시 금호동3가,37.54998,127.02213
23714,서울특별시,금호동4가,서울특별시 금호동4가,37.54479,127.02339
23721,서울특별시,옥수동,서울특별시 옥수동,37.54176,127.01648
23740,서울특별시,성수동1가,서울특별시 성수동1가,37.5435,127.03742
23761,서울특별시,성수동2가,서울특별시 성수동2가,37.54048,127.05601
23769,서울특별시,용답동,서울특별시 용답동,37.5613328,127.05801460358003
23805,서울특별시,도선동,서울특별시 도선동,37.56322,127.03311
23973,서울특별시,송정동,서울특별시 송정동,37.55421,127.05676
25281,서울특별시,금호동2가,서울특별시 금호동2가,37.55311,127.0211
36085,서울특별시,상왕십리동,서울특별시 상왕십리동,37.5683106,127.0245724
45740,서울특별시,중곡동,서울특별시 중곡동,37.563443500000005,127.0880807785108
45742,서울특별시,구의동,서울특별시 구의동,37.54448955,127.08746775824949
45769,서울특별시,광장동,서울특별시 광장동,37.54711,127.10414
45804,서울특별시,자양동,서울특별시 자양동,37.53169045,127.07494767413708
45843,서울특별시,화양동,서울특별시 화양동,37.54408,127.06895
45844,서울특별시,군자동,서울특별시 군자동,37.5532345,127.071936
48859,서울특별시,능동,서울특별시 능동,37.55444,127.08156
59052,서울특별시,용두동,서울특별시 용두동,37.57616,127.03476
59054,서울특별시,제기동,서울특별시 제기동,37.5783784,127.0344672
59061,서울특별시,전농동,서울특별시 전농동,37.5806,127.05543
59079,서울특별시,답십리동,서울특별시 답십리동,37.57002,127.05467
59123,서울특별시,장안동,서울특별시 장안동,37.57105,127.06806
59189,서울특별시,청량리동,서울특별시 청량리동,37.5882073,127.046251807744
59201,서울특별시,회기동,서울특별시 회기동,37.59433,127.05178
59206,서울특별시,휘경동,서울특별시 휘경동,37.58773,127.06526
59241,서울특별시,이문동,서울특별시 이문동,37.60021,127.06124
59499,서울특별시,신설동,서울특별시 신설동,37.5745192,127.0254473
80589,서울특별시,면목동,서울특별시 면목동,37.5817944,127.09104236297874
80643,서울특별시,상봉동,서울특별시 상봉동,37.60002,127.09283
80662,서울특별시,중화동,서울특별시 중화동,37.59755,127.07783
80689,서울특별시,묵동,서울특별시 묵동,37.61083,127.08109
80726,서울특별시,망우동,서울특별시 망우동,37.60086375,127.1076268962394
80732,서울특별시,신내동,서울특별시 신내동,37.61071285,127.09312767202238
101296,서울특별시,돈암동,서울특별시 돈암동,37.59785535,127.02098648548665
101370,서울특별시,동소문동4가,서울특별시 동소문동4가,37.5914,127.0103
101376,서울특별시,동소문동7가,서울특별시 동소문동7가,37.59584,127.01395
101379,서울특별시,삼선동3가,서울특별시 삼선동3가,37.58635,127.01311
101380,서울특별시,삼선동4가,서울특별시 삼선동4가,37.58935,127.01307
101382,서울특별시,삼선동5가,서울특별시 삼선동5가,37.58811,127.01573
101384,서울특별시,안암동1가,서울특별시 안암동1가,37.58774,127.02097
101386,서울특별시,안암동3가,서울특별시 안암동3가,37.58371,127.02359
101388,서울특별시,보문동6가,서울특별시 보문동6가,37.58047,127.01856
101390,서울특별시,보문동3가,서울특별시 보문동3가,37.58419,127.01622
101392,서울특별시,정릉동,서울특별시 정릉동,37.6167954,126.99729980019457
101448,서울특별시,길음동,서울특별시 길음동,37.6085308,127.0201946
101465,서울특별시,종암동,서울특별시 종암동,37.59631,127.03333
101500,서울특별시,하월곡동,서울특별시 하월곡동,37.60444,127.03764
101542,서울특별시,상월곡동,서울특별시 상월곡동,37.60607,127.04629
101547,서울특별시,장위동,서울특별시 장위동,37.61602205,127.05024999283457
101552,서울특별시,석관동,서울특별시 석관동,37.60789,127.06116
101677,서울특별시,보문동2가,서울특별시 보문동2가,37.58547,127.01799
102003,서울특별시,동소문동5가,서울특별시 동소문동5가,37.59112,127.01481
102469,서울특별시,동소문동6가,서울특별시 동소문동6가,37.5932,127.01369
102474,서울특별시,삼선동2가,서울특별시 삼선동2가,37.58438,127.0102
102802,서울특별시,성북동,서울특별시 성북동,37.59552,126.99215
102937,서울특별시,동선동3가,서울특별시 동선동3가,37.5955726,127.0172776
103608,서울특별시,안암동4가,서울특별시 안암동4가,37.58079,127.02558
104225,서울특별시,동선동5가,서울특별시 동선동5가,37.59588,127.01651
105496,서울특별시,동선동4가,서울특별시 동선동4가,37.59457,127.0185
110365,서울특별시,동선동1가,서울특별시 동선동1가,37.59202,127.01799
111990,서울특별시,보문동4가,서울특별시 보문동4가,37.58255,127.02114
121112,서울특별시,성북동1가,서울특별시 성북동1가,37.5937602,127.0039977
134104,서울특별시,미아동,서울특별시 미아동,37.628995,127.02575433718266
134175,서울특별시,번동,서울특별시 번동,37.62929,127.03684
134197,서울특별시,수유동,서울특별시 수유동,37.636597,127.0043825133653
134217,서울특별시,우이동,서울특별시 우이동,37.6575291,127.0089505
145853,서울특별시,쌍문동,서울특별시 쌍문동,37.65293455,127.02493658713578
145963,서울특별시,방학동,서울특별시 방학동,37.66442,127.03333
146046,서울특별시,창동,서울특별시 창동,37.6534371,127.0488204
146300,서울특별시,도봉동,서울특별시 도봉동,37.6852654,127.03035483415854
175984,서울특별시,월계동,서울특별시 월계동,37.6289,127.0567
176075,서울특별시,공릉동,서울특별시 공릉동,37.63021,127.08818
176211,서울특별시,하계동,서울특별시 하계동,37.63793,127.07251
176296,서울특별시,상계동,서울특별시 상계동,37.66682525,127.07222636796388
176736,서울특별시,중계동,서울특별시 중계동,37.65098145,127.08102589582589
241122,서울특별시,수색동,서울특별시 수색동,37.585187250000004,126.8948584489098
241136,서울특별시,녹번동,서울특별시 녹번동,37.60408794999999,126.93172334972789
241147,서울특별시,불광동,서울특별시 불광동,37.6160647,126.9339579
241173,서울특별시,갈현동,서울특별시 갈현동,37.62058,126.91102
241188,서울특별시,구산동,서울특별시 구산동,37.61228115,126.90826582986259
241202,서울특별시,대조동,서울특별시 대조동,37.612610000000004,126.92278351858204
241205,서울특별시,응암동,서울특별시 응암동,37.59265725,126.9216113631233
241227,서울특별시,역촌동,서울특별시 역촌동,37.605,126.91198
241232,서울특별시,신사동,서울특별시 신사동,37.52232055,127.02770186675215
241270,서울특별시,증산동,서울특별시 증산동,37.58234,126.90612
242157,서울특별시,진관동,서울특별시 진관동,37.642116900000005,126.93543045855546
262930,서울특별시,충정로3가,서울특별시 충정로3가,37.5618374,126.9616577
262933,서울특별시,천연동,서울특별시 천연동,37.5682303,126.9605136
262935,서울특별시,영천동,서울특별시 영천동,37.5708668,126.9596744
262940,서울특별시,현저동,서울특별시 현저동,37.57386,126.9541
262954,서울특별시,홍제동,서울특별시 홍제동,37.5871,126.94676
263000,서울특별시,대현동,서울특별시 대현동,37.56058,126.94496
263012,서울특별시,연희동,서울특별시 연희동,37.57234,126.93084
263037,서울특별시,홍은동,서울특별시 홍은동,37.5933933,126.93759641568691
263084,서울특별시,북가좌동,서울특별시 북가좌동,37.57953,126.91156
263096,서울특별시,남가좌동,서울특별시 남가좌동,37.57663705,126.92106500393953
263140,서울특별시,북아현동,서울특별시 북아현동,37.56348,126.95426
263219,서울특별시,창천동,서울특별시 창천동,37.55844,126.93363
263327,서울특별시,냉천동,서울특별시 냉천동,37.56644,126.96208
263624,서울특별시,충정로2가,서울특별시 충정로2가,37.56423,126.96346
264460,서울특별시,미근동,서울특별시 미근동,37.56343,126.96689
264560,서울특별시,합동,서울특별시 합동,37.56092,126.96575
280488,서울특별시,아현동,서울특별시 아현동,37.550546999999995,126.95246389042379
280489,서울특별시,공덕동,서울특별시 공덕동,37.549927049999994,126.95928971994923
280500,서울특별시,신공덕동,서울특별시 신공덕동,37.5447,126.95606
280516,서울특별시,도화동,서울특별시 도화동,37.5386394,126.94924282127039
280543,서울특별시,용강동,서울특별시 용강동,37.5415852,126.94263151869309
280550,서울특별시,토정동,서울특별시 토정동,37.5401495,126.941228
280555,서울특별시,마포동,서울특별시 마포동,37.53672,126.94288
280557,서울특별시,대흥동,서울특별시 대흥동,37.551004250000005,126.94194473035297
280566,서울특별시,염리동,서울특별시 염리동,37.55018115,126.9478720005446
280577,서울특별시,노고산동,서울특별시 노고산동,37.5536471,126.9374998
280587,서울특별시,신수동,서울특별시 신수동,37.54620345,126.9359375116903
280603,서울특별시,현석동,서울특별시 현석동,37.54254,126.93469
280611,서울특별시,창전동,서울특별시 창전동,37.55007,126.92938
280640,서울특별시,신정동,서울특별시 신정동,37.54305,126.9311
280643,서울특별시,서교동,서울특별시 서교동,37.5550706,126.92382487891514
280649,서울특별시,동교동,서울특별시 동교동,37.5571419,126.9261901
280650,서울특별시,합정동,서울특별시 합정동,37.54678,126.9084
280654,서울특별시,망원동,서울특별시 망원동,37.556024050000005,126.90097513605555
280684,서울특별시,연남동,서울특별시 연남동,37.56258,126.92196
280692,서울특별시,성산동,서울특별시 성산동,37.56775,126.90263
280711,서울특별시,중동,서울특별시 중동,37.57191,126.90557
280723,서울특별시,상암동,서울특별시 상암동,37.57157235,126.87280634672527
280868,서울특별시,상수동,서울특별시 상수동,37.54743,126.92473
285462,서울특별시,하중동,서울특별시 하중동,37.54365,126.92838
299194,서울특별시,구수동,서울특별시 구수동,37.54616,126.93299
303778,서울특별시,목동,서울특별시 목동,37.5261241,126.8645174
303823,서울특별시,신월동,서울특별시 신월동,37.52782,126.83692
336768,서울특별시,염창동,서울특별시 염창동,37.55534725,126.87252829335478
336798,서울특별시,등촌동,서울특별시 등촌동,37.552056,126.86156493348459
336843,서울특별시,화곡동,서울특별시 화곡동,37.542134000000004,126.84417516520307
336923,서울특별시,가양동,서울특별시 가양동,37.56788385,126.84984883679246
336971,서울특별시,마곡동,서울특별시 마곡동,37.56619,126.8255083
336979,서울특별시,내발산동,서울특별시 내발산동,37.5538883,126.8377001
337045,서울특별시,방화동,서울특별시 방화동,37.57682,126.81422
339327,서울특별시,공항동,서울특별시 공항동,37.5556799,126.79312568532687
375651,서울특별시,신도림동,서울특별시 신도림동,37.50941,126.88285
375683,서울특별시,구로동,서울특별시 구로동,37.4945849,126.8845477
375820,서울특별시,고척동,서울특별시 고척동,37.5023851,126.86285013540632
375850,서울특별시,개봉동,서울특별시 개봉동,37.49461445,126.85621083394557
375916,서울특별시,오류동,서울특별시 오류동,37.4943466,126.8445367
375959,서울특별시,궁동,서울특별시 궁동,37.5006694,126.8280726
375964,서울특별시,항동,서울특별시 항동,37.4813204,126.8244434
376169,서울특별시,가리봉동,서울특별시 가리봉동,37.4838745,126.8889756
376907,서울특별시,온수동,서울특별시 온수동,37.4945527,126.820444
385477,서울특별시,천왕동,서울특별시 천왕동,37.4809508,126.8389546
408232,서울특별시,가산동,서울특별시 가산동,37.4751631,126.88629613586181
408243,서울특별시,독산동,서울특별시 독산동,37.468399,126.8979571
408293,서울특별시,시흥동,서울특별시 시흥동,37.4507049,126.9085555
418954,서울특별시,영등포동,서울특별시 영등포동,37.5222786,126.90785736304467
418968,서울특별시,영등포동1가,서울특별시 영등포동1가,37.51509,126.91423
418969,서울특별시,영등포동7가,서울특별시 영등포동7가,,
418977,서울특별시,영등포동8가,서울특별시 영등포동8가,37.52872,126.90411
418981,서울특별시,여의도동,서울특별시 여의도동,37.5284646,126.93005217324125
419002,서울특별시,당산동1가,서울특별시 당산동1가,37.5223052,126.8990946
419007,서울특별시,당산동2가,서울특별시 당산동2가,37.5224036,126.89391
419017,서울특별시,당산동3가,서울특별시 당산동3가,37.52616,126.89724
419022,서울특별시,당산동4가,서울특별시 당산동4가,37.52915,126.89894
419038,서울특별시,당산동5가,서울특별시 당산동5가,37.53208,126.90102
419043,서울특별시,당산동,서울특별시 당산동,37.5346241,126.9065487
419054,서울특별시,도림동,서울특별시 도림동,37.50872,126.90113
419059,서울특별시,문래동3가,서울특별시 문래동3가,37.51702,126.89591
419065,서울특별시,문래동4가,서울특별시 문래동4가,37.514477,126.8898892
419068,서울특별시,문래동5가,서울특별시 문래동5가,37.51588,126.88411
419076,서울특별시,문래동6가,서울특별시 문래동6가,37.51938,126.88467
419097,서울특별시,양평동1가,서울특별시 양평동1가,37.52309,126.88868
419107,서울특별시,양평동2가,서울특별시 양평동2가,37.52357,126.88288
419114,서울특별시,양평동3가,서울특별시 양평동3가,37.5282501,126.8914746
419137,서울특별시,양평동4가,서울특별시 양평동4가,37.53689,126.89638
419140,서울특별시,양평동5가,서울특별시 양평동5가,37.53906,126.8928
419144,서울특별시,양평동6가,서울특별시 양평동6가,37.5418285,126.890214
419146,서울특별시,신길동,서울특별시 신길동,37.5065214,126.91191077679022
419183,서울특별시,대림동,서울특별시 대림동,37.4957573,126.899936
419623,서울특별시,문래동2가,서울특별시 문래동2가,37.5128036,126.8929788
421029,서울특별시,영등포동5가,서울특별시 영등포동5가,37.52095,126.9066
430559,서울특별시,당산동6가,서울특별시 당산동6가,37.53644,126.89902
430627,서울특별시,영등포동4가,서울특별시 영등포동4가,37.51777,126.90368
431185,서울특별시,영등포동2가,서울특별시 영등포동2가,37.52125,126.91222
435730,서울특별시,영등포동3가,서울특별시 영등포동3가,37.51811,126.90866
446946,서울특별시,노량진동,서울특별시 노량진동,37.51261305,126.9421239952394
446966,서울특별시,상도동,서울특별시 상도동,37.4988159,126.9441045
447004,서울특별시,상도1동,서울특별시 상도1동,37.49993085,126.95219024134829
447008,서울특별시,본동,서울특별시 본동,37.51337,126.95477
447016,서울특별시,흑석동,서울특별시 흑석동,37.5064393,126.963687
447025,서울특별시,사당동,서울특별시 사당동,37.48507995,126.97049486573837
447067,서울특별시,대방동,서울특별시 대방동,37.5067997,126.92913492678356
447087,서울특별시,신대방동,서울특별시 신대방동,37.49101785,126.91639707374016
447414,서울특별시,동작동,서울특별시 동작동,37.5028911,126.9775288
471178,서울특별시,봉천동,서울특별시 봉천동,37.484665,126.9484961
471309,서울특별시,신림동,서울특별시 신림동,37.48682825,126.92826657522511
471362,서울특별시,남현동,서울특별시 남현동,37.4715479,126.9764934
491808,서울특별시,방배동,서울특별시 방배동,37.478793749999994,126.99292253243601
491849,서울특별시,양재동,서울특별시 양재동,37.4690298,127.03879366778062
491865,서울특별시,우면동,서울특별시 우면동,37.4647545,127.0188666
491868,서울특별시,잠원동,서울특별시 잠원동,37.518254400000004,127.01240284968915
491906,서울특별시,반포동,서울특별시 반포동,37.50405035,127.00175976523576
491934,서울특별시,서초동,서울특별시 서초동,37.48844065,127.01644172675934
509694,서울특별시,신원동,서울특별시 신원동,37.44505,127.05985
513137,서울특별시,내곡동,서울특별시 내곡동,37.4534615,127.0664442
525004,서울특별시,역삼동,서울특별시 역삼동,37.49988,127.03856
525034,서울특별시,개포동,서울특별시 개포동,37.4890796,127.0660515
525071,서울특별시,청담동,서울특별시 청담동,37.52575355,127.0523217253381
525094,서울특별시,삼성동,서울특별시 삼성동,37.513742199999996,127.05544630232768
525115,서울특별시,대치동,서울특별시 대치동,37.4989205,127.0657856909771
525139,서울특별시,논현동,서울특별시 논현동,37.5123018,127.0294935
525158,서울특별시,압구정동,서울특별시 압구정동,37.5300432,127.0313346
525172,서울특별시,일원동,서울특별시 일원동,37.48754,127.08705
525185,서울특별시,수서동,서울특별시 수서동,37.48445,127.09838
525203,서울특별시,도곡동,서울특별시 도곡동,37.4878395,127.0438569
541339,서울특별시,세곡동,서울특별시 세곡동,37.4708665,127.10335105674744
550351,서울특별시,자곡동,서울특별시 자곡동,37.4725141,127.0987522
550359,서울특별시,율현동,서울특별시 율현동,37.4714,127.1113
568626,서울특별시,잠실동,서울특별시 잠실동,37.5122807,127.0855986
568650,서울특별시,신천동,서울특별시 신천동,37.5184928,127.1030779
568671,서울특별시,풍납동,서울특별시 풍납동,37.53374445,127.11503175392201
568694,서울특별시,송파동,서울특별시 송파동,37.504264250000006,127.11570790558729
568706,서울특별시,석촌동,서울특별시 석촌동,37.5024827,127.103495
568709,서울특별시,삼전동,서울특별시 삼전동,37.5014521,127.0901512
568712,서울특별시,가락동,서울특별시 가락동,37.49488385,127.11878497546454
568752,서울특별시,문정동,서울특별시 문정동,37.4850937,127.11931437136715
568775,서울특별시,장지동,서울특별시 장지동,37.4798337,127.1310225
568777,서울특별시,방이동,서울특별시 방이동,37.511304949999996,127.11879300480555
568807,서울특별시,오금동,서울특별시 오금동,37.50355,127.13379
568817,서울특별시,거여동,서울특별시 거여동,37.490687,127.14691602020021
568830,서울특별시,마천동,서울특별시 마천동,37.49803,127.15167
613320,서울특별시,명일동,서울특별시 명일동,37.54841,127.15158
613357,서울특별시,고덕동,서울특별시 고덕동,37.56528,127.15761
613370,서울특별시,상일동,서울특별시 상일동,37.5567762,127.1667789
613385,서울특별시,길동,서울특별시 길동,37.5383683,127.1402049
613430,서울특별시,둔촌동,서울특별시 둔촌동,37.5278024,127.1362433
613459,서울특별시,암사동,서울특별시 암사동,37.5582352,127.1308542
613498,서울특별시,성내동,서울특별시 성내동,37.52998,127.12875
613550,서울특별시,천호동,서울특별시 천호동,37.54294,127.12733
617728,서울특별시,강일동,서울특별시 강일동,37.56723,127.1713
650921,부산광역시,영주동,부산광역시 영주동,35.11209,129.03294
650927,부산광역시,대청동4가,부산광역시 대청동4가,35.10634,129.02998
650928,부산광역시,보수동1가,부산광역시 보수동1가,35.10617,129.02549
650929,부산광역시,부평동2가,부산광역시 부평동2가,35.1007,129.0258
650930,부산광역시,부평동4가,부산광역시 부평동4가,35.10209,129.02284
650931,부산광역시,신창동2가,부산광역시 신창동2가,35.10134,129.0294
650940,부산광역시,동광동5가,부산광역시 동광동5가,35.10746,129.03427
650942,부산광역시,신창동1가,부산광역시 신창동1가,35.10125,129.03024
651002,부산광역시,보수동3가,부산광역시 보수동3가,35.1043,129.02247
651013,부산광역시,보수동2가,부산광역시 보수동2가,35.10516,129.02343
651024,부산광역시,대창동1가,부산광역시 대창동1가,35.10823,129.03627
651571,부산광역시,중앙동4가,부산광역시 중앙동4가,35.10788,129.03738
651909,부산광역시,대청동2가,부산광역시 대청동2가,35.1021182,129.0309723
652213,부산광역시,대청동1가,부산광역시 대청동1가,35.10387,129.03277
652950,부산광역시,동대신동1가,부산광역시 동대신동1가,35.11024,129.02232
652951,부산광역시,동대신동2가,부산광역시 동대신동2가,35.11355,129.0229
652954,부산광역시,동대신동3가,부산광역시 동대신동3가,35.11625,129.01882
652958,부산광역시,서대신동1가,부산광역시 서대신동1가,,
652962,부산광역시,서대신동2가,부산광역시 서대신동2가,35.1096,129.01228
652963,부산광역시,서대신동3가,부산광역시 서대신동3가,35.1169101,129.0114067
652970,부산광역시,부민동3가,부산광역시 부민동3가,35.10387,129.01657
652972,부산광역시,토성동1가,부산광역시 토성동1가,35.09962,129.02302
652974,부산광역시,토성동5가,부산광역시 토성동5가,35.09748,129.02185
652978,부산광역시,남부민동,부산광역시 남부민동,35.0866446,129.02288
652981,부산광역시,암남동,부산광역시 암남동,35.0751352,129.0152617
653019,부산광역시,부용동1가,부산광역시 부용동1가,35.10662,129.02116
653167,부산광역시,토성동3가,부산광역시 토성동3가,,
653168,부산광역시,아미동2가,부산광역시 아미동2가,35.10033,129.0144
653235,부산광역시,부민동1가,부산광역시 부민동1가,35.10346,129.02058
653254,부산광역시,충무동2가,부산광역시 충무동2가,35.09531,129.02238
653547,부산광역시,토성동2가,부산광역시 토성동2가,35.1007,129.02154
655809,부산광역시,초장동,부산광역시 초장동,35.0958071,129.0190172
660060,부산광역시,초량동,부산광역시 초량동,35.12144,129.04098
660070,부산광역시,수정동,부산광역시 수정동,35.1305163,129.0413108
660080,부산광역시,좌천동,부산광역시 좌천동,35.1335788,129.0517546
660085,부산광역시,범일동,부산광역시 범일동,35.13408,129.0612
664898,부산광역시,대평동1가,부산광역시 대평동1가,35.09106,129.03457
664901,부산광역시,남항동1가,부산광역시 남항동1가,35.09016,129.03938
664903,부산광역시,남항동3가,부산광역시 남항동3가,35.0857,129.03712
664904,부산광역시,영선동2가,부산광역시 영선동2가,35.08821,129.04243
664906,부산광역시,영선동3가,부산광역시 영선동3가,35.08589,129.0415
664907,부산광역시,영선동4가,부산광역시 영선동4가,35.08095,129.0435
664915,부산광역시,신선동2가,부산광역시 신선동2가,35.08692,129.04689
664916,부산광역시,봉래동1가,부산광역시 봉래동1가,35.09411,129.04022
664921,부산광역시,봉래동2가,부산광역시 봉래동2가,35.0935,129.04219
664923,부산광역시,봉래동3가,부산광역시 봉래동3가,35.0934,129.04483
664924,부산광역시,봉래동4가,부산광역시 봉래동4가,35.0919335,129.0496044
664926,부산광역시,봉래동5가,부산광역시 봉래동5가,35.09327,129.05238
664928,부산광역시,청학동,부산광역시 청학동,35.09106,129.06497
664939,부산광역시,동삼동,부산광역시 동삼동,35.0751315,129.0728955
665109,부산광역시,대교동2가,부산광역시 대교동2가,35.09164,129.04109
665641,부산광역시,영선동1가,부산광역시 영선동1가,35.09037,129.04403
666132,부산광역시,남항동2가,부산광역시 남항동2가,35.0884,129.03822
667706,부산광역시,신선동3가,부산광역시 신선동3가,,
670521,부산광역시,대교동1가,부산광역시 대교동1가,35.09269,129.03822
676270,부산광역시,양정동,부산광역시 양정동,35.1729981,129.0701213
676298,부산광역시,전포동,부산광역시 전포동,35.1572828,129.0745022
676332,부산광역시,부전동,부산광역시 부전동,35.1569988,129.058582
676341,부산광역시,범천동,부산광역시 범천동,35.14925,129.05386
