순번,city,gu,dong
264,서울특별시,서초구,서초동
265,서울특별시,서초구,신원동
266,서울특별시,서초구,방배동
267,서울특별시,서초구,반포동
268,서울특별시,서초구,서초동
269,서울특별시,서초구,양재동
270,서울특별시,서초구,잠원동
271,서울특별시,서초구,방배동
272,서울특별시,서초구,방배동
273,서울특별시,서초구,서초동
274,서울특별시,서초구,서초동
275,서울특별시,서초구,
276,서울특별시,서초구,반포동
277,서울특별시,서초구,서초동
278,서울특별시,서초구,방배동
279,서울특별시,서초구,잠원동
280,서울특별시,서초구,서초동
281,서울특별시,서초구,잠원동
282,서울특별시,서초구,서초동
283,서울특별시,서초구,서초동
284,서울특별시,서초구,양재동
285,서울특별시,서초구,반포동
286,서울특별시,서초구,양재동
287,서울특별시,서초구,서초동
288,서울특별시,서초구,반포동
289,서울특별시,서초구,서초동
290,서울특별시,서초구,서초동
291,서울특별시,서초구,서초동
292,서울특별시,서초구,서초동
293,서울특별시,서초구,서초동
294,서울특별시,서초구,서초동
295,서울특별시,서초구,서초동
296,서울특별시,서초구,반포동
297,서울특별시,서초구,서초동
298,서울특별시,서초구,서초동
299,서울특별시,서초구,잠원동
300,서울특별시,성북구,돈암동
301,서울특별시,성북구,길음동
302,서울특별시,성북구,종암동
303,서울특별시,성북구,하월곡
304,서울특별시,성북구,동선동
305,서울특별시,성북구,종암동
306,서울특별시,성북구,동소문
307,서울특별시,성북구,하월곡
308,서울특별시,성북구,안암동
309,서울특별시,성북구,길음동
310,서울특별시,성북구,동선동
311,서울특별시,성북구,안암동
312,서울특별시,성북구,성북동
313,서울특별시,성북구,안암동
314,서울특별시,성북구,장위동
315,서울특별시,송파구,송파동
316,서울특별시,송파구,가락동
317,서울특별시,송파구,신천동
318,서울특별시,송파구,문정동
319,서울특별시,송파구,가락동
320,서울특별시,송파구,문정동
321,서울특별시,송파구,문정동
322,서울특별시,송파구,
323,서울특별시,송파구,장지동
324,서울특별시,송파구,방이동
325,서울특별시,송파구,방이동
326,서울특별시,송파구,문정동
327,서울특별시,송파구,송파동
328,서울특별시,송파구,삼전동
329,서울특별시,송파구,가락동
330,서울특별시,송파구,문정동
331,서울특별시,송파구,방이동
332,서울특별시,송파구,오금동
333,서울특별시,송파구,송파동
334,서울특별시,송파구,신천동
335,서울특별시,송파구,잠실동
336,서울특별시,송파구,신천동
337,서울특별시,송파구,잠실동
338,서울특별시,송파구,잠실동
339,서울특별시,송파구,방이동
340,서울특별시,송파구,가락동
341,서울특별시,송파구,석촌동
342,서울특별시,송파구,가락동
343,서울특별시,송파구,문정동
344,서울특별시,송파구,잠실동
345,서울특별시,송파구,문정동
346,서울특별시,송파구,거여동
347,서울특별시,송파구,방이동
348,서울특별시,송파구,신천동
349,서울특별시,송파구,문정동
350,서울특별시,송파구,마천동
351,서울특별시,양천구,목동)
352,서울특별시,양천구,목동)
353,서울특별시,양천구,목동)
354,서울특별시,양천구,신정동
355,서울특별시,양천구,신정동
356,서울특별시,양천구,목동)
357,서울특별시,양천구,신정동
358,서울특별시,양천구,목동)
359,서울특별시,양천구,신월동
360,서울특별시,양천구,목동)
361,서울특별시,양천구,"목동,"
362,서울특별시,양천구,목동)
363,서울특별시,양천구,"목동,"
364,서울특별시,양천구,목동)
365,서울특별시,양천구,목동)
366,서울특별시,양천구,신정동
367,서울특별시,양천구,신월동
368,서울특별시,영등포구,영등포
369,서울특별시,영등포구,여의도
370,서울특별시,영등포구,영등포
371,서울특별시,영등포구,당산동
372,서울특별시,영등포구,여의도
373,서울특별시,영등포구,여의도
374,서울특별시,영등포구,여의도
375,서울특별시,영등포구,여의도
376,서울특별시,영등포구,영등포
377,서울특별시,영등포구,여의도
378,서울특별시,영등포구,여의도
379,서울특별시,영등포구,양평동
380,서울특별시,영등포구,여의도
381,서울특별시,영등포구,양평제
382,서울특별시,영등포구,여의도
383,서울특별시,영등포구,여의도
384,서울특별시,영등포구,신길동
385,서울특별시,영등포구,문래동
386,서울특별시,영등포구,당산동
387,서울특별시,영등포구,여의도
388,서울특별시,영등포구,여의도
389,서울특별시,영등포구,영등포
390,서울특별시,영등포구,문래동
391,서울특별시,영등포구,여의도
392,서울특별시,영등포구,여의도
393,서울특별시,영등포구,문래동
394,서울특별시,영등포구,영등포
395,서울특별시,영등포구,여의도
396,서울특별시,영등포구,영등포
397,서울특별시,영등포구,영등포
398,서울특별시,영등포구,영등포
399,서울특별시,영등포구,여의도
400,서울특별시,영등포구,여의도
401,서울특별시,영등포구,여의도
402,서울특별시,영등포구,양평동
403,서울특별시,영등포구,영등포
404,서울특별시,영등포구,
405,서울특별시,영등포구,양평동
406,서울특별시,영등포구,영등포
407,서울특별시,영등포구,여의도
408,서울특별시,영등포구,당산동
409,서울특별시,은평구,대조동
410,서울특별시,은평구,
411,서울특별시,은평구,불광동
412,서울특별시,은평구,갈현동
413,서울특별시,은평구,
414,서울특별시,은평구,응암동
415,서울특별시,은평구,응암동
416,서울특별시,은평구,대조동
417,서울특별시,은평구,수색동
418,서울특별시,은평구,신사동
419,서울특별시,은평구,진관동
420,서울특별시,은평구,녹번동
421,서울특별시,은평구,진관동
422,서울특별시,종로구,수송동
423,서울특별시,종로구,동숭동
424,서울특별시,종로구,당주동
425,서울특별시,종로구,평동)
426,서울특별시,종로구,평창동
427,서울특별시,종로구,서린동
428,서울특별시,종로구,종로2
429,서울특별시,종로구,
430,서울특별시,종로구,적선동
431,서울특별시,종로구,숭인동
432,서울특별시,종로구,수송동
433,서울특별시,종로구,계동)
434,서울특별시,종로구,청진동
435,서울특별시,종로구,신문로
436,서울특별시,종로구,재동)
437,서울특별시,종로구,삼청동
438,서울특별시,종로구,청진동
439,서울특별시,종로구,적선동
440,서울특별시,종로구,인사동
441,서울특별시,종로구,세종로
442,서울특별시,종로구,명륜3
443,서울특별시,종로구,사직동
444,서울특별시,종로구,인의동
445,서울특별시,종로구,종로2
446,서울특별시,종로구,동숭동
447,서울특별시,종로구,관철동
448,서울특별시,종로구,통의동
449,서울특별시,종로구,수송동
450,서울특별시,종로구,동숭동
451,서울특별시,종로구,종로3
452,서울특별시,종로구,연건동
453,서울특별시,종로구,중학동
454,서울특별시,종로구,관수동
455,서울특별시,종로구,종로1
456,서울특별시,종로구,신문로
457,서울특별시,종로구,인의동
458,서울특별시,종로구,평동)
459,서울특별시,종로구,혜화동
460,서울특별시,종로구,
461,서울특별시,종로구,평동)
462,서울특별시,중구,남대문
463,서울특별시,중구,을지로
464,서울특별시,중구,을지로
465,서울특별시,중구,남대문
466,서울특별시,중구,을지로
467,서울특별시,중구,
468,서울특별시,중구,충무로
469,서울특별시,중구,을지로
470,서울특별시,중구,남대문
471,서울특별시,중구,광희동
472,서울특별시,중구,다동)
473,서울특별시,중구,장충동
474,서울특별시,중구,흥인동
475,서울특별시,중구,남대문
476,서울특별시,중구,회현동
477,서울특별시,중구,삼각동
478,서울특별시,중구,을지로
479,서울특별시,중구,충무로
480,서울특별시,중구,충무로
481,서울특별시,중구,태평로
482,서울특별시,중구,명동 
483,서울특별시,중구,신당동
484,서울특별시,중구,저동2
485,서울특별시,중구,
486,서울특별시,중구,서소문
487,서울특별시,중구,흥인동
488,서울특별시,중구,을지로
489,서울특별시,중구,남대문
490,서울특별시,중구,순화동
491,서울특별시,중구,필동2
492,서울특별시,중구,소공동
493,서울특별시,중구,무교동
494,서울특별시,중구,충정로
495,서울특별시,중구,태평로
496,서울특별시,중구,서소문
497,서울특별시,중구,남대문
498,서울특별시,중구,황학동
499,서울특별시,중구,을지로
500,서울특별시,중구,소공동
501,서울특별시,중구,을지로
502,서울특별시,중구,을지로
503,서울특별시,중구,충무로
504,서울특별시,중구,명동2
505,서울특별시,중구,순화동
506,서울특별시,중구,무교동
507,서울특별시,중구,수표동
508,서울특별시,중구,남대문
509,서울특별시,중구,태평로
510,서울특별시,중구,을지로
511,서울특별시,중구,회현동
512,서울특별시,중구,회현동
513,서울특별시,중구,저동2
514,서울특별시,중구,남산동
515,서울특별시,중구,서소문
516,서울특별시,강동구,명일동
517,서울특별시,강동구,성내동
518,서울특별시,강동구,암사동
519,서울특별시,강동구,명일동
520,서울특별시,강동구,천호동
521,서울특별시,강동구,성내동
522,서울특별시,강동구,천호동
523,서울특별시,강동구,천호동
524,서울특별시,강동구,길동)
525,서울특별시,강동구,상일동
526,서울특별시,강동구,성내동
527,서울특별시,강동구,명일동
528,서울특별시,강동구,고덕동
529,서울특별시,강동구,천호동
530,서울특별시,강동구,강일동
531,서울특별시,강동구,성내동
532,서울특별시,강동구,
533,서울특별시,구로구,신도림
534,서울특별시,구로구,구로동
535,서울특별시,구로구,오류동
536,서울특별시,구로구,구로동
537,서울특별시,구로구,구로동
538,서울특별시,구로구,구로동
539,서울특별시,구로구,신도림
540,서울특별시,구로구,구로동
541,서울특별시,구로구,신도림
542,서울특별시,구로구,고척동
543,서울특별시,구로구,구로동
544,서울특별시,구로구,오류동
545,서울특별시,구로구,구로동
546,서울특별시,구로구,고척동
547,서울특별시,동대문구,답십리
548,서울특별시,동대문구,회기동
549,서울특별시,동대문구,이문동
550,서울특별시,동대문구,신설동
551,서울특별시,동대문구,회기동
552,서울특별시,동대문구,이문동
553,서울특별시,동대문구,장안동
554,서울특별시,동대문구,회기동
555,서울특별시,동대문구,제기동
556,서울특별시,동대문구,전농동
557,서울특별시,성동구,성수동
558,서울특별시,성동구,금호동
559,서울특별시,성동구,성수동
560,서울특별시,성동구,하왕십
561,서울특별시,성동구,성수동
562,서울특별시,성동구,하왕십
563,서울특별시,성동구,도선동
564,서울특별시,성동구,행당동
565,서울특별시,성동구,행당동
566,서울특별시,성동구,금호동
567,서울특별시,성동구,행당동
568,서울특별시,성동구,성수동
569,서울특별시,성동구,옥수동
570,서울특별시,성동구,성수동
571,서울특별시,용산구,효창동
572,서울특별시,용산구,서계동
573,서울특별시,용산구,이태원
574,서울특별시,용산구,한남동
575,서울특별시,용산구,한강로
576,서울특별시,용산구,이촌동
577,서울특별시,용산구,한강로
578,서울특별시,용산구,용산동
579,서울특별시,용산구,갈월동
580,서울특별시,용산구,한남동
581,서울특별시,용산구,용산동
582,서울특별시,용산구,동자동
583,서울특별시,용산구,한남동
584,서울특별시,용산구,청파동
585,서울특별시,용산구,동빙고
586,서울특별시,용산구,갈월동
587,서울특별시,용산구,
588,서울특별시,용산구,이촌동
589,서울특별시,용산구,청파동
590,서울특별시,용산구,한강로
591,서울특별시,용산구,이태원
592,서울특별시,용산구,동자동
593,서울특별시,용산구,원효로
594,서울특별시,용산구,동자동
595,서울특별시,용산구,한강로
596,서울특별시,중랑구,상봉동
597,서울특별시,중랑구,상봉동
598,서울특별시,중랑구,
599,서울특별시,중랑구,
600,서울특별시,중랑구,상봉동
601,서울특별시,중랑구,"묵동,"
602,서울특별시,중랑구,망우동
603,서울특별시,중랑구,
604,경기도,가평군,
605,경기도,가평군,
606,경기도,고양시,장항동
607,경기도,고양시,풍동)
608,경기도,고양시,식사동
609,경기도,고양시,풍동)
610,경기도,고양시,백석동
611,경기도,고양시,식사동
612,경기도,고양시,중산동
613,경기도,고양시,백석동
614,경기도,고양시,백석동
615,경기도,고양시,장항동
616,경기도,고양시,마두동
617,경기도,고양시,장항동
618,경기도,고양시,장항동
619,경기도,고양시,장항동
620,경기도,고양시,풍동)
621,경기도,고양시,중산동
622,경기도,과천시,중앙동
623,경기도,과천시,별양동
624,경기도,과천시,중앙동
625,경기도,광명시,하안동
626,경기도,광명시,철산동
627,경기도,광명시,일직동
628,경기도,광명시,소하동
629,경기도,광명시,소하동
630,경기도,광명시,광명동
631,경기도,광명시,철산1
632,경기도,광명시,하안동
633,경기도,광명시,철산동
634,경기도,광명시,일직동
635,경기도,광명시,일직동
636,경기도,광주시,쌍령동
637,경기도,광주시,
638,경기도,광주시,송정동
639,경기도,광주시,경안동
640,경기도,광주시,
641,경기도,광주시,
642,경기도,구리시,갈매동
643,경기도,구리시,수택동
644,경기도,구리시,수택동
645,경기도,구리시,인창동
646,경기도,구리시,수택동
647,경기도,구리시,토평동
648,경기도,군포시,
649,경기도,군포시,산본동
650,경기도,군포시,산본동
651,경기도,군포시,
652,경기도,군포시,금정동
653,경기도,군포시,산본동
654,경기도,남양주시,다산동
655,경기도,남양주시,
656,경기도,남양주시,다산동
657,경기도,남양주시,다산동
658,경기도,남양주시,
659,경기도,남양주시,
660,경기도,남양주시,별내동
661,경기도,남양주시,
662,경기도,남양주시,
663,경기도,남양주시,호평동
664,경기도,남양주시,
665,경기도,남양주시,
666,경기도,남양주시,다산동
667,경기도,남양주시,
668,경기도,남양주시,다산동
669,경기도,남양주시,별내동
670,경기도,남양주시,삼패동
671,경기도,성남시,삼평동
672,경기도,성남시,백현동
673,경기도,성남시,삼평동
674,경기도,성남시,야탑동
675,경기도,성남시,이매동
676,경기도,성남시,율동)
677,경기도,성남시,정자동
678,경기도,성남시,백현동
679,경기도,성남시,운중동
680,경기도,성남시,삼평동
681,경기도,성남시,삼평동
682,경기도,성남시,서현동
683,경기도,성남시,구미동
684,경기도,성남시,수내동
685,경기도,성남시,정자동
686,경기도,성남시,서현동
687,경기도,성남시,야탑동
688,경기도,성남시,금곡동
689,경기도,성남시,수내동
690,경기도,성남시,정자동
691,경기도,성남시,서현동
692,경기도,성남시,야탑동
693,경기도,성남시,정자동
694,경기도,성남시,구미동
695,경기도,성남시,구미동
696,경기도,성남시,서현동
697,경기도,성남시,서현동
698,경기도,성남시,구미동
699,경기도,성남시,정자동
700,경기도,성남시,수내동
701,경기도,성남시,정자동
702,경기도,성남시,정자동
703,경기도,성남시,삼평동
704,경기도,성남시,구미동
705,경기도,성남시,삼평동
706,경기도,성남시,정자동
707,경기도,성남시,구미동
708,경기도,성남시,서현동
709,경기도,성남시,백현동
710,경기도,성남시,정자동
711,경기도,성남시,궁내동
712,경기도,성남시,야탑동
713,경기도,성남시,금광동
714,경기도,성남시,중앙동
715,경기도,성남시,성남동
716,경기도,수원시,금곡동
717,경기도,수원시,세류동
718,경기도,수원시,금곡동
719,경기도,수원시,오목천
720,경기도,수원시,권선동
721,경기도,수원시,권선동
722,경기도,수원시,세류동
723,경기도,수원시,서둔동
724,경기도,수원시,연무동
725,경기도,수원시,파장동
726,경기도,수원시,천천동
727,경기도,수원시,율전동
728,경기도,수원시,정자동
729,경기도,수원시,송죽동
730,경기도,수원시,인계동
731,경기도,수원시,인계동
732,경기도,수원시,인계동
733,경기도,수원시,인계동
734,경기도,수원시,매산로
735,경기도,수원시,우만동
736,경기도,수원시,인계동
737,경기도,수원시,우만동
738,경기도,수원시,인계동
739,경기도,수원시,매산로
740,경기도,시흥시,대야동
741,경기도,시흥시,정왕동
742,경기도,시흥시,대야동
743,경기도,시흥시,정왕동
744,경기도,시흥시,대야동
745,경기도,시흥시,정왕동
746,경기도,시흥시,정왕동
747,경기도,시흥시,정왕동
748,경기도,시흥시,월곶동
749,경기도,시흥시,장곡동
750,경기도,시흥시,능곡동
751,경기도,시흥시,조남동
752,경기도,시흥시,은행동
753,경기도,안산시,고잔동
754,경기도,안산시,고잔동
755,경기도,안산시,초지동
756,경기도,안산시,고잔동
757,경기도,안산시,고잔동
758,경기도,안산시,고잔동
759,경기도,안산시,신길동
760,경기도,안성시,석정동
761,경기도,안성시,
762,경기도,안성시,
763,경기도,안성시,계동)
764,경기도,안성시,
765,경기도,안양시,호계동
766,경기도,안양시,관양동
767,경기도,안양시,호계동
768,경기도,안양시,비산동
769,경기도,안양시,호계동
770,경기도,안양시,호계동
771,경기도,안양시,호계동
772,경기도,안양시,관양동
773,경기도,안양시,관양동
774,경기도,안양시,비산동
775,경기도,안양시,관양동
776,경기도,안양시,호계동
777,경기도,안양시,관양동
778,경기도,안양시,호계동
779,경기도,안양시,비산동
780,경기도,안양시,안양동
781,경기도,안양시,
782,경기도,안양시,안양동
783,경기도,안양시,석수동
784,경기도,안양시,안양동
785,경기도,양주시,옥정동
786,경기도,양주시,
787,경기도,양주시,덕정동
788,경기도,양주시,고읍동
789,경기도,양주시,광사동
790,경기도,양주시,광사동
791,경기도,양주시,옥정동
792,경기도,양주시,회정동
793,경기도,오산시,외삼미
794,경기도,오산시,금암동
795,경기도,오산시,갈곶동
796,경기도,오산시,원동)
797,경기도,오산시,
798,경기도,오산시,원동)
799,경기도,오산시,외삼미
800,경기도,오산시,수청동
801,경기도,용인시,중동)
802,경기도,용인시,상하동
803,경기도,용인시,언남동
804,경기도,용인시,구갈동
805,경기도,용인시,고매동
806,경기도,용인시,보라동
807,경기도,용인시,상하동
808,경기도,용인시,
809,경기도,용인시,신갈동
810,경기도,용인시,
811,경기도,용인시,보정동
812,경기도,용인시,보정동
813,경기도,용인시,구갈동
814,경기도,용인시,영덕동
815,경기도,용인시,농서동
816,경기도,용인시,보정동
817,경기도,용인시,보라동
818,경기도,용인시,중동)
819,경기도,용인시,신갈동
820,경기도,용인시,김량장
821,경기도,용인시,
822,경기도,용인시,
823,경기도,용인시,김량장
824,경기도,용인시,
825,경기도,용인시,마평동
826,경기도,용인시,역북동
827,경기도,용인시,
828,경기도,의왕시,청계동
829,경기도,의왕시,포일동
830,경기도,의왕시,내손동
831,경기도,의왕시,학의동
832,경기도,의왕시,삼동)
833,경기도,의정부시,의정부
834,경기도,의정부시,신곡동
835,경기도,의정부시,용현동
836,경기도,의정부시,의정부
837,경기도,의정부시,민락동
838,경기도,의정부시,호원동
839,경기도,의정부시,가능동
840,경기도,의정부시,금오동
841,경기도,의정부시,의정부
842,경기도,의정부시,의정부
843,경기도,의정부시,용현동
844,경기도,의정부시,민락동
845,경기도,의정부시,장암동
846,경기도,의정부시,민락동
847,경기도,이천시,증포동
848,경기도,이천시,사음동
849,경기도,이천시,
850,경기도,이천시,중리동
851,경기도,포천시,선단동
852,경기도,포천시,
853,경기도,포천시,
854,경기도,하남시,망월동
855,경기도,하남시,풍산동
856,경기도,하남시,학암동
857,경기도,하남시,망월동
858,경기도,하남시,덕풍동
859,경기도,하남시,망월동
860,경기도,하남시,신장동
861,경기도,하남시,신장동
862,경기도,하남시,신장동
863,경기도,하남시,
864,경기도,하남시,신장동
865,경기도,하남시,신장동
866,경기도,하남시,덕풍동
867,경기도,하남시,감이동
868,경기도,하남시,망월동
869,경기도,하남시,망월동
870,경기도,화성시,
871,경기도,화성시,
872,경기도,화성시,
873,경기도,화성시,청계동
874,경기도,화성시,능동)
875,경기도,화성시,오산동
876,경기도,화성시,진안동
877,경기도,화성시,영천동
878,경기도,화성시,반월동
879,경기도,화성시,
880,경기도,화성시,반송동
881,경기도,화성시,반송동
882,경기도,화성시,석우동
883,경기도,화성시,송동)
884,경기도,화성시,
885,경기도,화성시,기안동
886,경기도,화성시,목동)
887,경기도,화성시,반월동
888,경기도,화성시,오산동
889,경기도,화성시,오산동
890,경기도,화성시,오산동
891,경기도,화성시,
892,경기도,화성시,새솔동
893,경기도,화성시,반송동
894,경기도,화성시,영천동
895,경기도,화성시,
896,경기도,화성시,안녕동
897,경기도,화성시,영천동
898,경기도,화성시,
899,경기도,화성시,
900,경기도,화성시,송동)
901,경기도,고양시,삼송동
902,경기도,고양시,원흥동
903,경기도,고양시,동산동
904,경기도,고양시,동산동
905,경기도,고양시,
906,경기도,고양시,고양동
